path,phrase
dataset\SigNN Character Database\A\42.jpg,A
dataset\SigNN Character Database\A\A_675.jpg,A
dataset\SigNN Character Database\A\A_1208.jpg,A
dataset\SigNN Character Database\A\A_474.jpg,A
dataset\SigNN Character Database\A\A_15.jpg,A
dataset\SigNN Character Database\A\A_774.jpg,A
dataset\SigNN Character Database\A\A_310.jpg,A
dataset\SigNN Character Database\A\A_241.jpg,A
dataset\SigNN Character Database\A\A_1408.jpg,A
dataset\SigNN Character Database\A\A_147.jpg,A
dataset\SigNN Character Database\A\A_185.jpg,A
dataset\SigNN Character Database\A\A_674.jpg,A
dataset\SigNN Character Database\A\A_1402.jpg,A
dataset\SigNN Character Database\A\A_744.jpg,A
dataset\SigNN Character Database\A\A_71.jpg,A
dataset\SigNN Character Database\A\A_392.jpg,A
dataset\SigNN Character Database\A\A_1186.jpg,A
dataset\SigNN Character Database\A\A_1123.jpg,A
dataset\SigNN Character Database\A\A_991.jpg,A
dataset\SigNN Character Database\A\A_672.jpg,A
dataset\SigNN Character Database\A\A_1162.jpg,A
dataset\SigNN Character Database\A\A_980.jpg,A
dataset\SigNN Character Database\A\A_208.jpg,A
dataset\SigNN Character Database\A\A_686.jpg,A
dataset\SigNN Character Database\A\A_1085.jpg,A
dataset\SigNN Character Database\A\A_70.jpg,A
dataset\SigNN Character Database\A\A_184.jpg,A
dataset\SigNN Character Database\A\A_1330.jpg,A
dataset\SigNN Character Database\A\A_600.jpg,A
dataset\SigNN Character Database\A\A_1377.jpg,A
dataset\SigNN Character Database\A\A_1049.jpg,A
dataset\SigNN Character Database\A\A_641.jpg,A
dataset\SigNN Character Database\A\506.jpg,A
dataset\SigNN Character Database\A\A_1230.jpg,A
dataset\SigNN Character Database\A\A_679.jpg,A
dataset\SigNN Character Database\A\A_89.jpg,A
dataset\SigNN Character Database\A\A_182.jpg,A
dataset\SigNN Character Database\A\A_1492.jpg,A
dataset\SigNN Character Database\A\A_167.jpg,A
dataset\SigNN Character Database\A\A_1439.jpg,A
dataset\SigNN Character Database\A\A_522.jpg,A
dataset\SigNN Character Database\A\A_67.jpg,A
dataset\SigNN Character Database\A\A_381.jpg,A
dataset\SigNN Character Database\A\A_749.jpg,A
dataset\SigNN Character Database\A\A_170.jpg,A
dataset\SigNN Character Database\A\A_488.jpg,A
dataset\SigNN Character Database\A\A_597.jpg,A
dataset\SigNN Character Database\A\A_1301.jpg,A
dataset\SigNN Character Database\A\A_490.jpg,A
dataset\SigNN Character Database\A\21.jpg,A
dataset\SigNN Character Database\A\A_1438.jpg,A
dataset\SigNN Character Database\A\A_516.jpg,A
dataset\SigNN Character Database\A\A_834.jpg,A
dataset\SigNN Character Database\A\A_148.jpg,A
dataset\SigNN Character Database\A\A_1178.jpg,A
dataset\SigNN Character Database\A\A_785.jpg,A
dataset\SigNN Character Database\A\A_1200.jpg,A
dataset\SigNN Character Database\A\A_1268.jpg,A
dataset\SigNN Character Database\A\A_1017.jpg,A
dataset\SigNN Character Database\A\A_129.jpg,A
dataset\SigNN Character Database\A\A_1019.jpg,A
dataset\SigNN Character Database\A\A_630.jpg,A
dataset\SigNN Character Database\A\A_1297.jpg,A
dataset\SigNN Character Database\A\A_113.jpg,A
dataset\SigNN Character Database\A\A_1303.jpg,A
dataset\SigNN Character Database\A\A_1378.jpg,A
dataset\SigNN Character Database\A\A_54.jpg,A
dataset\SigNN Character Database\A\A_42.jpg,A
dataset\SigNN Character Database\A\A_552.jpg,A
dataset\SigNN Character Database\A\A_684.jpg,A
dataset\SigNN Character Database\A\A_975.jpg,A
dataset\SigNN Character Database\A\A_662.jpg,A
dataset\SigNN Character Database\A\275.jpg,A
dataset\SigNN Character Database\A\A_1270.jpg,A
dataset\SigNN Character Database\A\A_212.jpg,A
dataset\SigNN Character Database\A\A_1486.jpg,A
dataset\SigNN Character Database\A\61.jpg,A
dataset\SigNN Character Database\A\87.jpg,A
dataset\SigNN Character Database\A\399.jpg,A
dataset\SigNN Character Database\A\A_1252.jpg,A
dataset\SigNN Character Database\A\A_511.jpg,A
dataset\SigNN Character Database\A\A_125.jpg,A
dataset\SigNN Character Database\A\A_890.jpg,A
dataset\SigNN Character Database\A\A_1108.jpg,A
dataset\SigNN Character Database\A\A_400.jpg,A
dataset\SigNN Character Database\A\A_792.jpg,A
dataset\SigNN Character Database\A\A_405.jpg,A
dataset\SigNN Character Database\A\A_259.jpg,A
dataset\SigNN Character Database\A\A_1136.jpg,A
dataset\SigNN Character Database\A\A_194.jpg,A
dataset\SigNN Character Database\A\A_1015.jpg,A
dataset\SigNN Character Database\A\A_1284.jpg,A
dataset\SigNN Character Database\A\A_475.jpg,A
dataset\SigNN Character Database\A\A_61.jpg,A
dataset\SigNN Character Database\A\A_1202.jpg,A
dataset\SigNN Character Database\A\143.jpg,A
dataset\SigNN Character Database\A\A_210.jpg,A
dataset\SigNN Character Database\A\A_279.jpg,A
dataset\SigNN Character Database\A\A_1324.jpg,A
dataset\SigNN Character Database\A\A_484.jpg,A
dataset\SigNN Character Database\A\9.jpg,A
dataset\SigNN Character Database\A\A_507.jpg,A
dataset\SigNN Character Database\A\A_731.jpg,A
dataset\SigNN Character Database\A\A_709.jpg,A
dataset\SigNN Character Database\A\A_218.jpg,A
dataset\SigNN Character Database\A\A_914.jpg,A
dataset\SigNN Character Database\A\A_1329.jpg,A
dataset\SigNN Character Database\A\A_1097.jpg,A
dataset\SigNN Character Database\A\A_1317.jpg,A
dataset\SigNN Character Database\A\A_1488.jpg,A
dataset\SigNN Character Database\A\A_346.jpg,A
dataset\SigNN Character Database\A\A_929.jpg,A
dataset\SigNN Character Database\A\A_532.jpg,A
dataset\SigNN Character Database\A\A_948.jpg,A
dataset\SigNN Character Database\A\A_1117.jpg,A
dataset\SigNN Character Database\A\A_970.jpg,A
dataset\SigNN Character Database\A\A_88.jpg,A
dataset\SigNN Character Database\A\A_680.jpg,A
dataset\SigNN Character Database\A\A_266.jpg,A
dataset\SigNN Character Database\A\A_240.jpg,A
dataset\SigNN Character Database\A\A_410.jpg,A
dataset\SigNN Character Database\A\A_773.jpg,A
dataset\SigNN Character Database\A\A_612.jpg,A
dataset\SigNN Character Database\A\A_335.jpg,A
dataset\SigNN Character Database\A\A_782.jpg,A
dataset\SigNN Character Database\A\A_135.jpg,A
dataset\SigNN Character Database\A\A_1155.jpg,A
dataset\SigNN Character Database\A\A_402.jpg,A
dataset\SigNN Character Database\A\A_508.jpg,A
dataset\SigNN Character Database\A\A_197.jpg,A
dataset\SigNN Character Database\A\84.jpg,A
dataset\SigNN Character Database\A\A_1420.jpg,A
dataset\SigNN Character Database\A\A_702.jpg,A
dataset\SigNN Character Database\A\A_207.jpg,A
dataset\SigNN Character Database\A\A_1006.jpg,A
dataset\SigNN Character Database\A\A_470.jpg,A
dataset\SigNN Character Database\A\A_659.jpg,A
dataset\SigNN Character Database\A\A_1227.jpg,A
dataset\SigNN Character Database\A\A_1226.jpg,A
dataset\SigNN Character Database\A\165.jpg,A
dataset\SigNN Character Database\A\A_1180.jpg,A
dataset\SigNN Character Database\A\A_711.jpg,A
dataset\SigNN Character Database\A\A_1025.jpg,A
dataset\SigNN Character Database\A\150.jpg,A
dataset\SigNN Character Database\A\A_1177.jpg,A
dataset\SigNN Character Database\A\A_297.jpg,A
dataset\SigNN Character Database\A\A_106.jpg,A
dataset\SigNN Character Database\A\A_1228.jpg,A
dataset\SigNN Character Database\A\A_300.jpg,A
dataset\SigNN Character Database\A\A_913.jpg,A
dataset\SigNN Character Database\A\A_433.jpg,A
dataset\SigNN Character Database\A\A_1084.jpg,A
dataset\SigNN Character Database\A\A_1174.jpg,A
dataset\SigNN Character Database\A\A_819.jpg,A
dataset\SigNN Character Database\A\A_448.jpg,A
dataset\SigNN Character Database\A\A_428.jpg,A
dataset\SigNN Character Database\A\A_1312.jpg,A
dataset\SigNN Character Database\A\A_225.jpg,A
dataset\SigNN Character Database\A\513.jpg,A
dataset\SigNN Character Database\A\A_594.jpg,A
dataset\SigNN Character Database\A\A_1008.jpg,A
dataset\SigNN Character Database\A\A_764.jpg,A
dataset\SigNN Character Database\A\A_693.jpg,A
dataset\SigNN Character Database\A\A_973.jpg,A
dataset\SigNN Character Database\A\433.jpg,A
dataset\SigNN Character Database\A\A_314.jpg,A
dataset\SigNN Character Database\A\A_1028.jpg,A
dataset\SigNN Character Database\A\A_840.jpg,A
dataset\SigNN Character Database\A\A_306.jpg,A
dataset\SigNN Character Database\A\A_884.jpg,A
dataset\SigNN Character Database\A\A_1142.jpg,A
dataset\SigNN Character Database\A\527.jpg,A
dataset\SigNN Character Database\A\A_591.jpg,A
dataset\SigNN Character Database\A\A_1193.jpg,A
dataset\SigNN Character Database\A\A_453.jpg,A
dataset\SigNN Character Database\A\A_1077.jpg,A
dataset\SigNN Character Database\A\A_169.jpg,A
dataset\SigNN Character Database\A\A_566.jpg,A
dataset\SigNN Character Database\A\A_325.jpg,A
dataset\SigNN Character Database\A\A_1470.jpg,A
dataset\SigNN Character Database\A\A_1361.jpg,A
dataset\SigNN Character Database\A\449.jpg,A
dataset\SigNN Character Database\A\A_337.jpg,A
dataset\SigNN Character Database\A\A_924.jpg,A
dataset\SigNN Character Database\A\A_426.jpg,A
dataset\SigNN Character Database\A\A_294.jpg,A
dataset\SigNN Character Database\A\253.jpg,A
dataset\SigNN Character Database\A\A_1380.jpg,A
dataset\SigNN Character Database\A\507.jpg,A
dataset\SigNN Character Database\A\A_41.jpg,A
dataset\SigNN Character Database\A\A_374.jpg,A
dataset\SigNN Character Database\A\267.jpg,A
dataset\SigNN Character Database\A\A_269.jpg,A
dataset\SigNN Character Database\A\A_857.jpg,A
dataset\SigNN Character Database\A\A_1404.jpg,A
dataset\SigNN Character Database\A\A_1096.jpg,A
dataset\SigNN Character Database\A\265.jpg,A
dataset\SigNN Character Database\A\A_291.jpg,A
dataset\SigNN Character Database\A\A_1062.jpg,A
dataset\SigNN Character Database\A\A_380.jpg,A
dataset\SigNN Character Database\A\A_223.jpg,A
dataset\SigNN Character Database\A\55.jpg,A
dataset\SigNN Character Database\A\A_754.jpg,A
dataset\SigNN Character Database\A\A_1276.jpg,A
dataset\SigNN Character Database\A\A_188.jpg,A
dataset\SigNN Character Database\A\428.jpg,A
dataset\SigNN Character Database\A\A_357.jpg,A
dataset\SigNN Character Database\A\A_809.jpg,A
dataset\SigNN Character Database\A\A_968.jpg,A
dataset\SigNN Character Database\A\A_219.jpg,A
dataset\SigNN Character Database\A\A_526.jpg,A
dataset\SigNN Character Database\A\A_328.jpg,A
dataset\SigNN Character Database\A\A_489.jpg,A
